pseudo_user_id,stream_id,user_info,device,geo,audiences,user_properties,user_ltv,predictions,privacy_info,occurrence_date,last_updated_date
404956588.1734512977,5775020580,"{'last_active_timestamp_micros': 1736952342895078, 'user_first_touch_timestamp_micros': 1734480000000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Apple', 'mobile_model_name': None, 'unified_screen_name': 'VEO™ - náplne - NicoLips'}","{'city': 'Bratislava', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Bratislava Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1734512976000000, 'membership_expiry_timestamp_micros': 1783608342000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 6, 'engagement_time_millis': 83601, 'purchases': None, 'engaged_sessions': 3, 'session_duration_micros': 119881417}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
1792107835.1736951887,5775020580,"{'last_active_timestamp_micros': 1736951941993040, 'user_first_touch_timestamp_micros': 1736899200000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Apple', 'mobile_model_name': None, 'unified_screen_name': 'AROMA KING NONIC DOUBLE KICK DOUBLE MINT - nicolips.sk'}","{'city': 'Bratislava', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Bratislava Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1736951887000000, 'membership_expiry_timestamp_micros': 1783607941000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 1, 'engagement_time_millis': 54416, 'purchases': None, 'engaged_sessions': 1, 'session_duration_micros': 54327344}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
1621946511.1736084073,5775020580,"{'last_active_timestamp_micros': 1736973937478366, 'user_first_touch_timestamp_micros': 1736035200000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Apple', 'mobile_model_name': None, 'unified_screen_name': 'PABLO nikotínové vrecúška - nicolips.sk'}","{'city': 'Bratislava', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Bratislava Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1736084073000000, 'membership_expiry_timestamp_micros': 1783629937000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 3, 'engagement_time_millis': 189793, 'purchases': None, 'engaged_sessions': 3, 'session_duration_micros': 197093323}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
53466251.1736927560,5775020580,"{'last_active_timestamp_micros': 1736930210801167, 'user_first_touch_timestamp_micros': 1736899200000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Samsung', 'mobile_model_name': 'SM-G996B', 'unified_screen_name': 'NOIS COOL STRONG - nicolips.sk'}","{'city': 'Bratislava', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Bratislava Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1736927560000000, 'membership_expiry_timestamp_micros': 1783586210000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 2, 'engagement_time_millis': 25405, 'purchases': None, 'engaged_sessions': 1, 'session_duration_micros': 33881132}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
668881481.1736922347,5775020580,"{'last_active_timestamp_micros': 1736922353713665, 'user_first_touch_timestamp_micros': 1736899200000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Apple', 'mobile_model_name': None, 'unified_screen_name': 'nicolips | Instagram, TikTok | Linktree'}","{'city': 'Bratislava', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Bratislava Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1736922346000000, 'membership_expiry_timestamp_micros': 1783578353000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 1, 'engagement_time_millis': 1847, 'purchases': None, 'engaged_sessions': None, 'session_duration_micros': 6825469}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
1402332795.1736920480,5775020580,"{'last_active_timestamp_micros': 1736920626359032, 'user_first_touch_timestamp_micros': 1736899200000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Apple', 'mobile_model_name': None, 'unified_screen_name': 'Nikotínové vrecúška - NicoLips'}","{'city': 'Bratislava', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Bratislava Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1736920480000000, 'membership_expiry_timestamp_micros': 1783576626000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 1, 'engagement_time_millis': 142184, 'purchases': None, 'engaged_sessions': 1, 'session_duration_micros': 145664885}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
1225230940.1736935411,5775020580,"{'last_active_timestamp_micros': 1736935483562536, 'user_first_touch_timestamp_micros': 1736899200000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Huawei', 'mobile_model_name': 'POT-LX1', 'unified_screen_name': 'VUSE e-cigarety - nicolips.sk'}","{'city': 'Bratislava', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Bratislava Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1736935409000000, 'membership_expiry_timestamp_micros': 1783591483000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 1, 'engagement_time_millis': 22777, 'purchases': None, 'engaged_sessions': 1, 'session_duration_micros': 73632020}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
1950231888.1736889888,5775020580,"{'last_active_timestamp_micros': 1736978879469666, 'user_first_touch_timestamp_micros': 1736812800000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Apple', 'mobile_model_name': None, 'unified_screen_name': 'GOAT COOL MINT - nicolips.sk'}","{'city': 'Bratislava', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Bratislava Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1736889888000000, 'membership_expiry_timestamp_micros': 1783634879000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 3, 'engagement_time_millis': 180669, 'purchases': None, 'engaged_sessions': 1, 'session_duration_micros': 352889116}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
1029895590.1736931593,5775020580,"{'last_active_timestamp_micros': 1736931993207495, 'user_first_touch_timestamp_micros': 1736899200000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Apple', 'mobile_model_name': None, 'unified_screen_name': 'ICEBERG ARASAKA - nicolips.sk'}","{'city': 'Bratislava', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Bratislava Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1736931593000000, 'membership_expiry_timestamp_micros': 1783587993000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 1, 'engagement_time_millis': 57275, 'purchases': None, 'engaged_sessions': 1, 'session_duration_micros': 399857253}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
1149687256.1733670151,5775020580,"{'last_active_timestamp_micros': 1736933500294620, 'user_first_touch_timestamp_micros': 1733616000000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Apple', 'mobile_model_name': None, 'unified_screen_name': 'PABLO EXCLUSIVE BUBBLEGUM - nicolips.sk'}","{'city': 'Bratislava', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Bratislava Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1733670150000000, 'membership_expiry_timestamp_micros': 1783589500000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 3, 'engagement_time_millis': 55037, 'purchases': None, 'engaged_sessions': 1, 'session_duration_micros': 65142292}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
143597680.1736936359,5775020580,"{'last_active_timestamp_micros': 1736936376083931, 'user_first_touch_timestamp_micros': 1736899200000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Apple', 'mobile_model_name': None, 'unified_screen_name': 'CUBA BLACK CHERRY - nicolips.cz'}","{'city': 'Brno', 'country': 'Czechia', 'continent': 'Europe', 'region': 'South Moravian Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1736936358000000, 'membership_expiry_timestamp_micros': 1783592376000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 1, 'engagement_time_millis': 17192, 'purchases': None, 'engaged_sessions': 1, 'session_duration_micros': 17158567}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
1843418288.1733141178,5775020580,"{'last_active_timestamp_micros': 1736981818568705, 'user_first_touch_timestamp_micros': 1733097600000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Apple', 'mobile_model_name': None, 'unified_screen_name': 'Nejsilnější nikotinové sáčky - nicolips.cz'}","{'city': 'Brno', 'country': 'Czechia', 'continent': 'Europe', 'region': 'South Moravian Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1733141177000000, 'membership_expiry_timestamp_micros': 1783637818000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 36, 'engagement_time_millis': 1625139, 'purchases': None, 'engaged_sessions': 13, 'session_duration_micros': 4725057521}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
463774200.1736972382,5775020580,"{'last_active_timestamp_micros': 1736972910052899, 'user_first_touch_timestamp_micros': 1736899200000000, 'first_purchase_date': '20250115'}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Apple', 'mobile_model_name': None, 'unified_screen_name': 'Děkujeme za objednávku - NicoLips'}","{'city': 'Prague', 'country': 'Czechia', 'continent': 'Europe', 'region': 'Prague'}","[{'id': 5775046008, 'name': 'Purchasers', 'membership_start_timestamp_micros': 1736972910000000, 'membership_expiry_timestamp_micros': 1783628910000000, 'npa': False}
 {'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1736972382000000, 'membership_expiry_timestamp_micros': 1783628910000000, 'npa': False}]",[],"{'revenue_in_usd': 17.962341, 'sessions': 1, 'engagement_time_millis': 305178, 'purchases': 1, 'engaged_sessions': 1, 'session_duration_micros': 527690559}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
700212947.1736963942,5775020580,"{'last_active_timestamp_micros': 1736975945277587, 'user_first_touch_timestamp_micros': 1736899200000000, 'first_purchase_date': '20250115'}","{'operating_system': 'web', 'category': 'desktop', 'mobile_brand_name': 'Google', 'mobile_model_name': None, 'unified_screen_name': 'Ďakujeme za objednávku - NicoLips'}","{'city': 'Kosice', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Kosice Region'}","[{'id': 5775046008, 'name': 'Purchasers', 'membership_start_timestamp_micros': 1736965121000000, 'membership_expiry_timestamp_micros': 1783621121000000, 'npa': False}
 {'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1736963941000000, 'membership_expiry_timestamp_micros': 1783631945000000, 'npa': False}]",[],"{'revenue_in_usd': 23.826745, 'sessions': 2, 'engagement_time_millis': 636169, 'purchases': 1, 'engaged_sessions': 1, 'session_duration_micros': 1190493658}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
429640145.1736603461,5775020580,"{'last_active_timestamp_micros': 1736964064653537, 'user_first_touch_timestamp_micros': 1736553600000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Apple', 'mobile_model_name': None, 'unified_screen_name': 'VUSE e-cigarety - nicolips.sk'}","{'city': 'Royalton Township', 'country': 'United States', 'continent': 'Americas', 'region': 'Ohio'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1736603461000000, 'membership_expiry_timestamp_micros': 1783620064000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 2, 'engagement_time_millis': 2811, 'purchases': None, 'engaged_sessions': None, 'session_duration_micros': 12643649}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
191174325.1736940018,5775020580,"{'last_active_timestamp_micros': 1736940044852305, 'user_first_touch_timestamp_micros': 1736899200000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Apple', 'mobile_model_name': None, 'unified_screen_name': 'KURWA COLLECTION BLACK CURRANT & PURPLE GRAPE'}","{'city': '91320', 'country': 'Germany', 'continent': 'Europe', 'region': 'Bavaria'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1736940017000000, 'membership_expiry_timestamp_micros': 1783596044000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 1, 'engagement_time_millis': 19591, 'purchases': None, 'engaged_sessions': 1, 'session_duration_micros': 26981115}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
527015467.1736838349,5775020580,"{'last_active_timestamp_micros': 1736966966324331, 'user_first_touch_timestamp_micros': 1736812800000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Apple', 'mobile_model_name': None, 'unified_screen_name': 'WHITE FOX - nicolips.sk'}","{'city': 'The Gardens', 'country': 'New Zealand', 'continent': 'Oceania', 'region': 'Auckland'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1736838348000000, 'membership_expiry_timestamp_micros': 1783622966000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 2, 'engagement_time_millis': 109621, 'purchases': None, 'engaged_sessions': 1, 'session_duration_micros': 159269332}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
1833475129.1736972898,5775020580,"{'last_active_timestamp_micros': 1736972953862866, 'user_first_touch_timestamp_micros': 1736899200000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Xiaomi', 'mobile_model_name': '23108RN04Y', 'unified_screen_name': 'Najsilnejšie nikotínové vrecúška - nicolips.sk'}","{'city': 'Nove Zamky', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Nitra Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1736972897000000, 'membership_expiry_timestamp_micros': 1783628953000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 1, 'engagement_time_millis': 54017, 'purchases': None, 'engaged_sessions': 1, 'session_duration_micros': 56217308}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': 'true'}",20250115,20250115
