user_id,user_info,device,geo,audiences,user_properties,user_ltv,predictions,privacy_info,occurrence_date,last_updated_date
13149da947ba760fd1a7cd264154d39b165ec08b1122ebd7bdefa108c96789b3,"{'last_active_timestamp_micros': 1741940629872275, 'user_first_touch_timestamp_micros': 1741910400000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'POCO', 'mobile_model_name': '2201117PG', 'unified_screen_name': 'PABLO ICE COLD XXL - nicolips.cz'}","{'city': '', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Kosice Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1741940311000000, 'membership_expiry_timestamp_micros': 1788596629000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 1, 'engagement_time_millis': 224279, 'purchases': None, 'engaged_sessions': 1, 'session_duration_micros': 318179601}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': '(not set)'}",20250314,20250314
143879cb1826877912520a2d5797a80c91069a656ec7ed2c42dc9f739098842a,"{'last_active_timestamp_micros': 1741935290612588, 'user_first_touch_timestamp_micros': 1741910400000000, 'first_purchase_date': None}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Infinix', 'mobile_model_name': 'Infinix X6837', 'unified_screen_name': 'Objednávka - informácie o Vás'}","{'city': 'Bratislava', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Bratislava Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1741933954000000, 'membership_expiry_timestamp_micros': 1788591290000000, 'npa': False}]",[],"{'revenue_in_usd': None, 'sessions': 1, 'engagement_time_millis': 602467, 'purchases': None, 'engaged_sessions': 1, 'session_duration_micros': 1335706959}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': '(not set)'}",20250314,20250314
f411ba9d544f77babf200baa535c1ae1d8952279cdd7356d6af2484ccb6b7418,"{'last_active_timestamp_micros': 1741983173941180, 'user_first_touch_timestamp_micros': 0, 'first_purchase_date': '20250313'}","{'operating_system': 'web', 'category': 'desktop', 'mobile_brand_name': 'Opera Software', 'mobile_model_name': None, 'unified_screen_name': 'Ďakujeme za objednávku - NicoLips'}","{'city': 'Senec', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Bratislava Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1741794624000000, 'membership_expiry_timestamp_micros': 1788639173000000, 'npa': False}
 {'id': 5775046008, 'name': 'Purchasers', 'membership_start_timestamp_micros': 1741875268000000, 'membership_expiry_timestamp_micros': 1788531268000000, 'npa': False}]",[],"{'revenue_in_usd': 8.161588, 'sessions': 7, 'engagement_time_millis': 1558769, 'purchases': 1, 'engaged_sessions': 5, 'session_duration_micros': 2064875786}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': '(not set)'}",20250314,20250314
25aca7e86bafcc2d54c89a9f670d6cdfedfb1ce9767cfc3c3f1b6c244680baaa,"{'last_active_timestamp_micros': 1741932494416269, 'user_first_touch_timestamp_micros': 1741824000000000, 'first_purchase_date': '20250314'}","{'operating_system': 'web', 'category': 'desktop', 'mobile_brand_name': 'Microsoft', 'mobile_model_name': None, 'unified_screen_name': 'Ďakujeme za objednávku - NicoLips'}","{'city': 'Kosice', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Kosice Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1741889903000000, 'membership_expiry_timestamp_micros': 1788588494000000, 'npa': False}
 {'id': 5775046008, 'name': 'Purchasers', 'membership_start_timestamp_micros': 1741932460000000, 'membership_expiry_timestamp_micros': 1788588460000000, 'npa': False}]",[],"{'revenue_in_usd': 13.284397, 'sessions': 4, 'engagement_time_millis': 1785428, 'purchases': 1, 'engaged_sessions': 4, 'session_duration_micros': 4910987905}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': '(not set)'}",20250314,20250314
249b392cd6174ac4f65b612543bb08ceb93312ea9d166035cf7a4181dcf5e7c5,"{'last_active_timestamp_micros': 1741965159065102, 'user_first_touch_timestamp_micros': 1741910400000000, 'first_purchase_date': '20250221'}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Samsung', 'mobile_model_name': 'SM-S908B', 'unified_screen_name': 'Objednávka - platba a doprava'}","{'city': 'Senec', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Bratislava Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1740133524000000, 'membership_expiry_timestamp_micros': 1788621159000000, 'npa': False}
 {'id': 5775046008, 'name': 'Purchasers', 'membership_start_timestamp_micros': 1740139841000000, 'membership_expiry_timestamp_micros': 1786795841000000, 'npa': False}]",[],"{'revenue_in_usd': 7.02727, 'sessions': 4, 'engagement_time_millis': 1265920, 'purchases': 1, 'engaged_sessions': 4, 'session_duration_micros': 7470899514}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': '(not set)'}",20250314,20250314
f86c453915e85db99cb754f608e8994527230d5de2c4cd6ec215ba94e3b121e6,"{'last_active_timestamp_micros': 1741966798048079, 'user_first_touch_timestamp_micros': 0, 'first_purchase_date': '20250314'}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Honor', 'mobile_model_name': 'LLY-NX1', 'unified_screen_name': 'Ďakujeme za objednávku - NicoLips'}","{'city': 'Rimavska Sobota', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Banska Bystrica Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1741966329000000, 'membership_expiry_timestamp_micros': 1788622798000000, 'npa': False}
 {'id': 5775046008, 'name': 'Purchasers', 'membership_start_timestamp_micros': 1741966649000000, 'membership_expiry_timestamp_micros': 1788622649000000, 'npa': False}]",[],"{'revenue_in_usd': 8.848999, 'sessions': 1, 'engagement_time_millis': 122925, 'purchases': 1, 'engaged_sessions': 1, 'session_duration_micros': 469042649}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': '(not set)'}",20250314,20250314
277cae3349792c1ef55bfeab855ebd196a423a87db4a11b22743802001d057bb,"{'last_active_timestamp_micros': 1741962378681423, 'user_first_touch_timestamp_micros': 0, 'first_purchase_date': '20250314'}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Samsung', 'mobile_model_name': 'SM-A135F', 'unified_screen_name': 'Ďakujeme za objednávku - NicoLips'}","{'city': '', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Presov Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1741959761000000, 'membership_expiry_timestamp_micros': 1788618378000000, 'npa': False}
 {'id': 5775046008, 'name': 'Purchasers', 'membership_start_timestamp_micros': 1741962363000000, 'membership_expiry_timestamp_micros': 1788618363000000, 'npa': False}]",[],"{'revenue_in_usd': 44.996943, 'sessions': 1, 'engagement_time_millis': 673241, 'purchases': 1, 'engaged_sessions': 1, 'session_duration_micros': 2617531306}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': '(not set)'}",20250314,20250314
8d03fabfe5e9162c5a92394ba59c15b0395b0493dd823dc5ca8e5bf9d72839c0,"{'last_active_timestamp_micros': 1741972134362355, 'user_first_touch_timestamp_micros': 0, 'first_purchase_date': '20250314'}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Xiaomi', 'mobile_model_name': '23053RN02Y', 'unified_screen_name': 'Ďakujeme za objednávku - NicoLips'}","{'city': 'Cadca', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Zilina Region'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1741857097000000, 'membership_expiry_timestamp_micros': 1788628134000000, 'npa': False}
 {'id': 5775046008, 'name': 'Purchasers', 'membership_start_timestamp_micros': 1741972118000000, 'membership_expiry_timestamp_micros': 1788628118000000, 'npa': False}]",[],"{'revenue_in_usd': 22.710978, 'sessions': 2, 'engagement_time_millis': 1264065, 'purchases': 1, 'engaged_sessions': 2, 'session_duration_micros': 4906618265}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': '(not set)'}",20250314,20250314
24fbc5406102f460e7b6d9142a7038c90ab3adbf64538bee77259717f362a36c,"{'last_active_timestamp_micros': 1741964266167903, 'user_first_touch_timestamp_micros': 0, 'first_purchase_date': '20241210'}","{'operating_system': 'web', 'category': 'desktop', 'mobile_brand_name': 'Apple', 'mobile_model_name': None, 'unified_screen_name': 'Nejsilnější nikotinové sáčky - nicolips.cz'}","{'city': '7443', 'country': 'Netherlands', 'continent': 'Europe', 'region': 'Overijssel'}","[{'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1733766843000000, 'membership_expiry_timestamp_micros': 1788620266000000, 'npa': False}
 {'id': 5775046008, 'name': 'Purchasers', 'membership_start_timestamp_micros': 1733845916000000, 'membership_expiry_timestamp_micros': 1780501916000000, 'npa': False}]",[],"{'revenue_in_usd': 21.593471, 'sessions': 3, 'engagement_time_millis': 2246930, 'purchases': 1, 'engaged_sessions': 2, 'session_duration_micros': 4539695400}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': '(not set)'}",20250314,20250314
8b5ed25c25494d4fefd40fd229619366dc890b615c04cecc1bf6def5af753631,"{'last_active_timestamp_micros': 1741937755729311, 'user_first_touch_timestamp_micros': 0, 'first_purchase_date': '20250313'}","{'operating_system': 'web', 'category': 'mobile', 'mobile_brand_name': 'Xiaomi', 'mobile_model_name': '23090RA98G', 'unified_screen_name': 'Energy vrecúška – beznikotínové kofeínové vrecúška pre zvýšenie energie | NicoLips'}","{'city': 'Bratislava', 'country': 'Slovakia', 'continent': 'Europe', 'region': 'Bratislava Region'}","[{'id': 5775046008, 'name': 'Purchasers', 'membership_start_timestamp_micros': 1741872437000000, 'membership_expiry_timestamp_micros': 1788528437000000, 'npa': False}
 {'id': 5775046007, 'name': 'All Users', 'membership_start_timestamp_micros': 1741793622000000, 'membership_expiry_timestamp_micros': 1788593755000000, 'npa': False}]",[],"{'revenue_in_usd': 26.0778, 'sessions': 8, 'engagement_time_millis': 2028408, 'purchases': 1, 'engaged_sessions': 7, 'session_duration_micros': 5030342853}","{'in_app_purchase_score_7d': None, 'purchase_score_7d': None, 'churn_score_7d': None, 'revenue_28d_in_usd': None}","{'is_limited_ad_tracking': 'false', 'is_ads_personalization_allowed': '(not set)'}",20250314,20250314
